job_key,reference,snapshot_date,skill
KYGZ2BOC-2026-08-08,KYGZ2BOC,2026-08-08,Kotlin
KYGZ2BOC-2026-08-08,KYGZ2BOC,2026-08-08,React
KYGZ2BOC-2026-08-08,KYGZ2BOC,2026-08-08,TypeScript
VMEJHWNZ-2026-08-08,VMEJHWNZ,2026-08-08,Java
VMEJHWNZ-2026-08-08,VMEJHWNZ,2026-08-08,React
VMEJHWNZ-2026-08-08,VMEJHWNZ,2026-08-08,TypeScript
GIMXEEIS-2026-08-08,GIMXEEIS,2026-08-08,React
GIMXEEIS-2026-08-08,GIMXEEIS,2026-08-08,TypeScript
GIMXEEIS-2026-08-08,GIMXEEIS,2026-08-08,GraphQL
30IMFFQR-2026-08-08,30IMFFQR,2026-08-08,Java
30IMFFQR-2026-08-08,30IMFFQR,2026-08-08,React
30IMFFQR-2026-08-08,30IMFFQR,2026-08-08,Next.js
EL8GJQ3R-2026-08-08,EL8GJQ3R,2026-08-08,Go
EL8GJQ3R-2026-08-08,EL8GJQ3R,2026-08-08,React
EL8GJQ3R-2026-08-08,EL8GJQ3R,2026-08-08,TypeScript
N3HFNBNT-2026-08-08,N3HFNBNT,2026-08-08,Finanse
N3HFNBNT-2026-08-08,N3HFNBNT,2026-08-08,Bankowość
N3HFNBNT-2026-08-08,N3HFNBNT,2026-08-08,JDG
QCMZMYSC-2026-08-08,QCMZMYSC,2026-08-08,.NET
QCMZMYSC-2026-08-08,QCMZMYSC,2026-08-08,C#
QCMZMYSC-2026-08-08,QCMZMYSC,2026-08-08,.NET Framework
EM4AFDW5-2026-08-08,EM4AFDW5,2026-08-08,Java
EM4AFDW5-2026-08-08,EM4AFDW5,2026-08-08,Distributed computing
EM4AFDW5-2026-08-08,EM4AFDW5,2026-08-08,Go
U7G0OI8Y-2026-08-08,U7G0OI8Y,2026-08-08,API
U7G0OI8Y-2026-08-08,U7G0OI8Y,2026-08-08,JavaScript
U7G0OI8Y-2026-08-08,U7G0OI8Y,2026-08-08,XML
JLQQUR1Y-2026-08-08,JLQQUR1Y,2026-08-08,SAP
JLQQUR1Y-2026-08-08,JLQQUR1Y,2026-08-08,SD
JLQQUR1Y-2026-08-08,JLQQUR1Y,2026-08-08,PP
TG6G8R2J-2026-08-08,TG6G8R2J,2026-08-08,macOS
TG6G8R2J-2026-08-08,TG6G8R2J,2026-08-08,Google Workspace
TG6G8R2J-2026-08-08,TG6G8R2J,2026-08-08,Slack
NHVW5BJB-2026-08-08,NHVW5BJB,2026-08-08,Communication skills
NHVW5BJB-2026-08-08,NHVW5BJB,2026-08-08,CRM
NHVW5BJB-2026-08-08,NHVW5BJB,2026-08-08,HubSpot
JQ7TTX9G-2026-08-08,JQ7TTX9G,2026-08-08,Degree
JQ7TTX9G-2026-08-08,JQ7TTX9G,2026-08-08,Data structures
JQ7TTX9G-2026-08-08,JQ7TTX9G,2026-08-08,Clean Code
2194BF3F-2026-08-08,2194BF3F,2026-08-08,CRM
2194BF3F-2026-08-08,2194BF3F,2026-08-08,CMS
2194BF3F-2026-08-08,2194BF3F,2026-08-08,Automated testing
JANNJK9X-2026-08-08,JANNJK9X,2026-08-08,QA
JANNJK9X-2026-08-08,JANNJK9X,2026-08-08,API
JANNJK9X-2026-08-08,JANNJK9X,2026-08-08,Python
W1VKLJJR-2026-08-08,W1VKLJJR,2026-08-08,REST API
W1VKLJJR-2026-08-08,W1VKLJJR,2026-08-08,Confluence
37DR2P34-2026-08-08,37DR2P34,2026-08-08,Project management
37DR2P34-2026-08-08,37DR2P34,2026-08-08,Zarządzanie projektami
37DR2P34-2026-08-08,37DR2P34,2026-08-08,Aplikacje biznesowe
KCCQ6HDO-2026-08-08,KCCQ6HDO,2026-08-08,Oracle
KCCQ6HDO-2026-08-08,KCCQ6HDO,2026-08-08,PL/SQL
KCCQ6HDO-2026-08-08,KCCQ6HDO,2026-08-08,XML
F8SWSJJI-2026-08-08,F8SWSJJI,2026-08-08,C++
WBEX6RRI-2026-08-08,WBEX6RRI,2026-08-08,AI
WBEX6RRI-2026-08-08,WBEX6RRI,2026-08-08,SSDLC
WBEX6RRI-2026-08-08,WBEX6RRI,2026-08-08,K8s
WO6VMQUK-2026-08-08,WO6VMQUK,2026-08-08,Java
WO6VMQUK-2026-08-08,WO6VMQUK,2026-08-08,Angular
WO6VMQUK-2026-08-08,WO6VMQUK,2026-08-08,AI
PCLN5AND-2026-08-08,PCLN5AND,2026-08-08,Scala
PCLN5AND-2026-08-08,PCLN5AND,2026-08-08,Kafka
PCLN5AND-2026-08-08,PCLN5AND,2026-08-08,Elasticsearch
J8ADYNQO-2026-08-08,J8ADYNQO,2026-08-08,AWS
J8ADYNQO-2026-08-08,J8ADYNQO,2026-08-08,REST API
J8ADYNQO-2026-08-08,J8ADYNQO,2026-08-08,OAuth
R1F1OGEV-2026-08-08,R1F1OGEV,2026-08-08,Degree
R1F1OGEV-2026-08-08,R1F1OGEV,2026-08-08,Analytical skills
R1F1OGEV-2026-08-08,R1F1OGEV,2026-08-08,MS Office
IWHYEMVY-2026-08-08,IWHYEMVY,2026-08-08,JavaScript
IWHYEMVY-2026-08-08,IWHYEMVY,2026-08-08,React
IWHYEMVY-2026-08-08,IWHYEMVY,2026-08-08,Web applications
DQ0HXV2X-2026-08-08,DQ0HXV2X,2026-08-08,Python
DQ0HXV2X-2026-08-08,DQ0HXV2X,2026-08-08,JavaScript
DQ0HXV2X-2026-08-08,DQ0HXV2X,2026-08-08,SQL
UZQVGYHD-2026-08-08,UZQVGYHD,2026-08-08,Windows
UZQVGYHD-2026-08-08,UZQVGYHD,2026-08-08,Windows Server
UZQVGYHD-2026-08-08,UZQVGYHD,2026-08-08,SMTP
8WR5NK3V-2026-08-08,8WR5NK3V,2026-08-08,Software engineering
8WR5NK3V-2026-08-08,8WR5NK3V,2026-08-08,Phyton
8WR5NK3V-2026-08-08,8WR5NK3V,2026-08-08,GenAI
UZPQKZ5B-2026-08-08,UZPQKZ5B,2026-08-08,Project Manager
UZPQKZ5B-2026-08-08,UZPQKZ5B,2026-08-08,AI
UZPQKZ5B-2026-08-08,UZPQKZ5B,2026-08-08,Scrum/Kanban
YY0QCGBL-2026-08-08,YY0QCGBL,2026-08-08,Szoftverfejlesztő
YY0QCGBL-2026-08-08,YY0QCGBL,2026-08-08,Java
YY0QCGBL-2026-08-08,YY0QCGBL,2026-08-08,Jenkins
7YHTVAGV-2026-08-08,7YHTVAGV,2026-08-08,CRM Data Flows
7YHTVAGV-2026-08-08,7YHTVAGV,2026-08-08,Customer Success Platforms
7YHTVAGV-2026-08-08,7YHTVAGV,2026-08-08,Data analysis
U6FYLE1J-2026-08-10,U6FYLE1J,2026-08-10,React
U6FYLE1J-2026-08-10,U6FYLE1J,2026-08-10,Full Stack Developer
U6FYLE1J-2026-08-10,U6FYLE1J,2026-08-10,C#
X7GSFGY7-2026-08-10,X7GSFGY7,2026-08-10,AI
X7GSFGY7-2026-08-10,X7GSFGY7,2026-08-10,Agentic AI
X7GSFGY7-2026-08-10,X7GSFGY7,2026-08-10,LLM
9PLVHSIY-2026-08-10,9PLVHSIY,2026-08-10,React
9PLVHSIY-2026-08-10,9PLVHSIY,2026-08-10,Next.js
9PLVHSIY-2026-08-10,9PLVHSIY,2026-08-10,TypeScript
NGYHQVBD-2026-08-10,NGYHQVBD,2026-08-10,Mechatronics
NGYHQVBD-2026-08-10,NGYHQVBD,2026-08-10,Integrated software
NGYHQVBD-2026-08-10,NGYHQVBD,2026-08-10,Hardware systems
KCZPLBV2-2026-08-10,KCZPLBV2,2026-08-10,SAP CO/PS Consultant
KCZPLBV2-2026-08-10,KCZPLBV2,2026-08-10,SAP
KCZPLBV2-2026-08-10,KCZPLBV2,2026-08-10,SAP S/4HANA
OW5DIAHH-2026-08-10,OW5DIAHH,2026-08-10,Java
OW5DIAHH-2026-08-10,OW5DIAHH,2026-08-10,Tomcat
OW5DIAHH-2026-08-10,OW5DIAHH,2026-08-10,Hibernate
QXV4MHVK-2026-08-10,QXV4MHVK,2026-08-10,Python
QXV4MHVK-2026-08-10,QXV4MHVK,2026-08-10,Robot Framework
QXV4MHVK-2026-08-10,QXV4MHVK,2026-08-10,API
KC4VYWZP-2026-08-10,KC4VYWZP,2026-08-10,RHEL
KC4VYWZP-2026-08-10,KC4VYWZP,2026-08-10,Bash
KC4VYWZP-2026-08-10,KC4VYWZP,2026-08-10,Python
74CQVOPU-2026-08-10,74CQVOPU,2026-08-10,React
JPUO4A1N-2026-08-10,JPUO4A1N,2026-08-10,EDiscovery
JPUO4A1N-2026-08-10,JPUO4A1N,2026-08-10,Digital Forensics
JPUO4A1N-2026-08-10,JPUO4A1N,2026-08-10,Litigation Support
RLVGWBY2-2026-08-10,RLVGWBY2,2026-08-10,R&D
RLVGWBY2-2026-08-10,RLVGWBY2,2026-08-10,Regulatory
RLVGWBY2-2026-08-10,RLVGWBY2,2026-08-10,Product management
U15NVDYX-2026-08-10,U15NVDYX,2026-08-10,IT Asset Management
U15NVDYX-2026-08-10,U15NVDYX,2026-08-10,Software Asset Management
U15NVDYX-2026-08-10,U15NVDYX,2026-08-10,Risk Management principles
IPLNUELN-2026-08-10,IPLNUELN,2026-08-10,Solution Architect
IPLNUELN-2026-08-10,IPLNUELN,2026-08-10,Digital
IPLNUELN-2026-08-10,IPLNUELN,2026-08-10,Technology
MTIXIIJU-2026-08-10,MTIXIIJU,2026-08-10,Enterprise Architect
MTIXIIJU-2026-08-10,MTIXIIJU,2026-08-10,Digital Strategy
MTIXIIJU-2026-08-10,MTIXIIJU,2026-08-10,Commercial Technologies
AYLEAJNX-2026-08-10,AYLEAJNX,2026-08-10,Solution Architecture
AYLEAJNX-2026-08-10,AYLEAJNX,2026-08-10,Quality
AYLEAJNX-2026-08-10,AYLEAJNX,2026-08-10,Compliance
MCP4QSNE-2026-08-10,MCP4QSNE,2026-08-10,Enterprise Architect
MCP4QSNE-2026-08-10,MCP4QSNE,2026-08-10,Quality
MCP4QSNE-2026-08-10,MCP4QSNE,2026-08-10,Supply Chain
RNY7HSEQ-2026-08-10,RNY7HSEQ,2026-08-10,Solution Architect
RNY7HSEQ-2026-08-10,RNY7HSEQ,2026-08-10,Digital
RNY7HSEQ-2026-08-10,RNY7HSEQ,2026-08-10,Complex business
HUB0VOUD-2026-08-10,HUB0VOUD,2026-08-10,Cybersecurity
HUB0VOUD-2026-08-10,HUB0VOUD,2026-08-10,Product Management
HUB0VOUD-2026-08-10,HUB0VOUD,2026-08-10,Cloud
ENPJKISE-2026-08-10,ENPJKISE,2026-08-10,IT
ENPJKISE-2026-08-10,ENPJKISE,2026-08-10,OT
ENPJKISE-2026-08-10,ENPJKISE,2026-08-10,CISSP
UGK39DXZ-2026-08-10,UGK39DXZ,2026-08-10,CISSP
UGK39DXZ-2026-08-10,UGK39DXZ,2026-08-10,CISM
UGK39DXZ-2026-08-10,UGK39DXZ,2026-08-10,GICSP
Q4ILJ6DF-2026-08-10,Q4ILJ6DF,2026-08-10,Cybersecurity
Q4ILJ6DF-2026-08-10,Q4ILJ6DF,2026-08-10,CISSP
Q4ILJ6DF-2026-08-10,Q4ILJ6DF,2026-08-10,CISM
VW8RHPMI-2026-08-10,VW8RHPMI,2026-08-10,Cybersecurity
VW8RHPMI-2026-08-10,VW8RHPMI,2026-08-10,CISSP
VW8RHPMI-2026-08-10,VW8RHPMI,2026-08-10,CISM
VQF1J2JH-2026-08-10,VQF1J2JH,2026-08-10,Python
VG2SQTV0-2026-08-10,VG2SQTV0,2026-08-10,Python
VG2SQTV0-2026-08-10,VG2SQTV0,2026-08-10,Robot Framework
VG2SQTV0-2026-08-10,VG2SQTV0,2026-08-10,Jenkins
KHCINVG5-2026-08-10,KHCINVG5,2026-08-10,Redhat
KHCINVG5-2026-08-10,KHCINVG5,2026-08-10,K8s
KHCINVG5-2026-08-10,KHCINVG5,2026-08-10,Linux
50ERH0I8-2026-08-10,50ERH0I8,2026-08-10,Degree
50ERH0I8-2026-08-10,50ERH0I8,2026-08-10,Communication skills
VTZGULKQ-2026-08-10,VTZGULKQ,2026-08-10,OS
VTZGULKQ-2026-08-10,VTZGULKQ,2026-08-10,Linux
VTZGULKQ-2026-08-10,VTZGULKQ,2026-08-10,Windows
X8CGR1OF-2026-08-10,X8CGR1OF,2026-08-10,Cloud
X8CGR1OF-2026-08-10,X8CGR1OF,2026-08-10,AWS
X8CGR1OF-2026-08-10,X8CGR1OF,2026-08-10,Azure
ADEIS8UW-2026-08-10,ADEIS8UW,2026-08-10,SDLC
ADEIS8UW-2026-08-10,ADEIS8UW,2026-08-10,Defect management
ADEIS8UW-2026-08-10,ADEIS8UW,2026-08-10,Test case management
RRUIN4BP-2026-08-10,RRUIN4BP,2026-08-10,Java
RRUIN4BP-2026-08-10,RRUIN4BP,2026-08-10,Test automation
RRUIN4BP-2026-08-10,RRUIN4BP,2026-08-10,Selenium
83LBIBHB-2026-08-10,83LBIBHB,2026-08-10,Protocols
83LBIBHB-2026-08-10,83LBIBHB,2026-08-10,Communication skills
83LBIBHB-2026-08-10,83LBIBHB,2026-08-10,Google Workspace
WJCOXQNZ-2026-08-10,WJCOXQNZ,2026-08-10,Protocols
WJCOXQNZ-2026-08-10,WJCOXQNZ,2026-08-10,Communication skills
WJCOXQNZ-2026-08-10,WJCOXQNZ,2026-08-10,Google Workspace
YDCZ5O9Y-2026-08-10,YDCZ5O9Y,2026-08-10,JavaScript
YDCZ5O9Y-2026-08-10,YDCZ5O9Y,2026-08-10,K6
YDCZ5O9Y-2026-08-10,YDCZ5O9Y,2026-08-10,Automated testing
NOVMQOVY-2026-08-10,NOVMQOVY,2026-08-10,Cybersecurity
NOVMQOVY-2026-08-10,NOVMQOVY,2026-08-10,SIEM
NOVMQOVY-2026-08-10,NOVMQOVY,2026-08-10,IPS
0CZPYUIS-2026-08-10,0CZPYUIS,2026-08-10,Java
0CZPYUIS-2026-08-10,0CZPYUIS,2026-08-10,iOS
0CZPYUIS-2026-08-10,0CZPYUIS,2026-08-10,Android
1YFQRBYS-2026-08-10,1YFQRBYS,2026-08-10,GRC
1YFQRBYS-2026-08-10,1YFQRBYS,2026-08-10,SIEM
1YFQRBYS-2026-08-10,1YFQRBYS,2026-08-10,IPS
ONLJSRWD-2026-08-10,ONLJSRWD,2026-08-10,Program Management
ONLJSRWD-2026-08-10,ONLJSRWD,2026-08-10,Project management
ONLJSRWD-2026-08-10,ONLJSRWD,2026-08-10,SSO
H9JLIWXV-2026-08-10,H9JLIWXV,2026-08-10,Data migration
H9JLIWXV-2026-08-10,H9JLIWXV,2026-08-10,Confluence
H9JLIWXV-2026-08-10,H9JLIWXV,2026-08-10,Data management
POG1OM2R-2026-08-10,POG1OM2R,2026-08-10,Data analysis
POG1OM2R-2026-08-10,POG1OM2R,2026-08-10,Reference Data
POG1OM2R-2026-08-10,POG1OM2R,2026-08-10,Data quality
Q7MP6KOF-2026-08-10,Q7MP6KOF,2026-08-10,CRM
Q7MP6KOF-2026-08-10,Q7MP6KOF,2026-08-10,ERP
Q7MP6KOF-2026-08-10,Q7MP6KOF,2026-08-10,Jira
6CQZY2TK-2026-08-10,6CQZY2TK,2026-08-10,Java
6CQZY2TK-2026-08-10,6CQZY2TK,2026-08-10,Python
6CQZY2TK-2026-08-10,6CQZY2TK,2026-08-10,Go
K5FJOQ05-2026-08-10,K5FJOQ05,2026-08-10,Go
K5FJOQ05-2026-08-10,K5FJOQ05,2026-08-10,R
LZ6DX1E1-2026-08-10,LZ6DX1E1,2026-08-10,Communication skills
9KOMXRNI-2026-08-10,9KOMXRNI,2026-08-10,GRC
9KOMXRNI-2026-08-10,9KOMXRNI,2026-08-10,NIST
9KOMXRNI-2026-08-10,9KOMXRNI,2026-08-10,ISO
T0UCT0EJ-2026-08-10,T0UCT0EJ,2026-08-10,AD
T0UCT0EJ-2026-08-10,T0UCT0EJ,2026-08-10,Digital marketing
T0UCT0EJ-2026-08-10,T0UCT0EJ,2026-08-10,Excel
I8QY7O4V-2026-08-10,I8QY7O4V,2026-08-10,AD
I8QY7O4V-2026-08-10,I8QY7O4V,2026-08-10,Digital marketing
I8QY7O4V-2026-08-10,I8QY7O4V,2026-08-10,Excel
HAG5QGOU-2026-08-10,HAG5QGOU,2026-08-10,Scrum
HAG5QGOU-2026-08-10,HAG5QGOU,2026-08-10,Kanban
HAG5QGOU-2026-08-10,HAG5QGOU,2026-08-10,Jira
AEYT0NL0-2026-08-10,AEYT0NL0,2026-08-10,Agile
AEYT0NL0-2026-08-10,AEYT0NL0,2026-08-10,Waterfall
AEYT0NL0-2026-08-10,AEYT0NL0,2026-08-10,Jira
MQ1EKUP2-2026-08-10,MQ1EKUP2,2026-08-10,Python
MQ1EKUP2-2026-08-10,MQ1EKUP2,2026-08-10,API
MQ1EKUP2-2026-08-10,MQ1EKUP2,2026-08-10,SDLC
OWRS0UKM-2026-08-10,OWRS0UKM,2026-08-10,Agile
OWRS0UKM-2026-08-10,OWRS0UKM,2026-08-10,Jira
OWRS0UKM-2026-08-10,OWRS0UKM,2026-08-10,Confluence
PMQHQ6SS-2026-08-10,PMQHQ6SS,2026-08-10,SQL
PMQHQ6SS-2026-08-10,PMQHQ6SS,2026-08-10,MDM
PMQHQ6SS-2026-08-10,PMQHQ6SS,2026-08-10,ETL
3JEVFL0X-2026-08-10,3JEVFL0X,2026-08-10,Project management
3JEVFL0X-2026-08-10,3JEVFL0X,2026-08-10,Agile
3JEVFL0X-2026-08-10,3JEVFL0X,2026-08-10,Jira
HTDPGN8V-2026-08-10,HTDPGN8V,2026-08-10,Java
HTDPGN8V-2026-08-10,HTDPGN8V,2026-08-10,Spring Framework
HTDPGN8V-2026-08-10,HTDPGN8V,2026-08-10,Spring Boot
WNDKXCJV-2026-08-10,WNDKXCJV,2026-08-10,Communication skills
ZFLTVYJF-2026-08-10,ZFLTVYJF,2026-08-10,Java
ZFLTVYJF-2026-08-10,ZFLTVYJF,2026-08-10,Spring
ZFLTVYJF-2026-08-10,ZFLTVYJF,2026-08-10,CI/CD
XOARQRKZ-2026-08-10,XOARQRKZ,2026-08-10,SAP
XOARQRKZ-2026-08-10,XOARQRKZ,2026-08-10,MS Fabric
XOARQRKZ-2026-08-10,XOARQRKZ,2026-08-10,Power BI
TG8DZCBG-2026-08-10,TG8DZCBG,2026-08-10,Office 365
WDQA5LGG-2026-08-10,WDQA5LGG,2026-08-10,Principle
WDQA5LGG-2026-08-10,WDQA5LGG,2026-08-10,Office 365
JACU6MS0-2026-08-10,JACU6MS0,2026-08-10,Python
JACU6MS0-2026-08-10,JACU6MS0,2026-08-10,LLMs
JACU6MS0-2026-08-10,JACU6MS0,2026-08-10,RAG
IERZUQWV-2026-08-10,IERZUQWV,2026-08-10,Python
IERZUQWV-2026-08-10,IERZUQWV,2026-08-10,GDPR
IERZUQWV-2026-08-10,IERZUQWV,2026-08-10,Powershell
XDPZG0T5-2026-08-10,XDPZG0T5,2026-08-10,Scrum
XDPZG0T5-2026-08-10,XDPZG0T5,2026-08-10,Kanban
XDPZG0T5-2026-08-10,XDPZG0T5,2026-08-10,SAFe
2LJQ172B-2026-08-10,2LJQ172B,2026-08-10,PHP
2LJQ172B-2026-08-10,2LJQ172B,2026-08-10,Symfony
2LJQ172B-2026-08-10,2LJQ172B,2026-08-10,Go
EWIUY4EF-2026-08-10,EWIUY4EF,2026-08-10,Dynamics 365
EWIUY4EF-2026-08-10,EWIUY4EF,2026-08-10,SAP
EWIUY4EF-2026-08-10,EWIUY4EF,2026-08-10,LLM
2M7KPZ0V-2026-08-10,2M7KPZ0V,2026-08-10,MS Office
2M7KPZ0V-2026-08-10,2M7KPZ0V,2026-08-10,Excel
FGANLCV5-2026-08-10,FGANLCV5,2026-08-10,.NET
FGANLCV5-2026-08-10,FGANLCV5,2026-08-10,React
FGANLCV5-2026-08-10,FGANLCV5,2026-08-10,.NET CORE
DTCSUH7Q-2026-08-10,DTCSUH7Q,2026-08-10,Cloud platform
DTCSUH7Q-2026-08-10,DTCSUH7Q,2026-08-10,GCP
DTCSUH7Q-2026-08-10,DTCSUH7Q,2026-08-10,Terraform
XMFR52W4-2026-08-10,XMFR52W4,2026-08-10,ISO27001
XMFR52W4-2026-08-10,XMFR52W4,2026-08-10,Jira
XMFR52W4-2026-08-10,XMFR52W4,2026-08-10,Confluence
DDFHPPVZ-2026-08-10,DDFHPPVZ,2026-08-10,Windows
DDFHPPVZ-2026-08-10,DDFHPPVZ,2026-08-10,macOS
L61EVPOS-2026-08-10,L61EVPOS,2026-08-10,BPMN
L61EVPOS-2026-08-10,L61EVPOS,2026-08-10,UML
L61EVPOS-2026-08-10,L61EVPOS,2026-08-10,SQL
Q1N8VELP-2026-08-10,Q1N8VELP,2026-08-10,Communication skills
J1OWAZXV-2026-08-10,J1OWAZXV,2026-08-10,IT rekrutacja
J1OWAZXV-2026-08-10,J1OWAZXV,2026-08-10,IT Delivery
J1OWAZXV-2026-08-10,J1OWAZXV,2026-08-10,Account management
GNR8C12P-2026-08-10,GNR8C12P,2026-08-10,Python
GNR8C12P-2026-08-10,GNR8C12P,2026-08-10,AI
GNR8C12P-2026-08-10,GNR8C12P,2026-08-10,Machine learning
E0UA9WMM-2026-08-10,E0UA9WMM,2026-08-10,Snowflake
E0UA9WMM-2026-08-10,E0UA9WMM,2026-08-10,Microsoft SQL Server
E0UA9WMM-2026-08-10,E0UA9WMM,2026-08-10,tSQLt
OYB9LM2X-2026-08-10,OYB9LM2X,2026-08-10,Business Analyst
OYB9LM2X-2026-08-10,OYB9LM2X,2026-08-10,BPMN
OYB9LM2X-2026-08-10,OYB9LM2X,2026-08-10,UML
BSGSG1A7-2026-08-10,BSGSG1A7,2026-08-10,SQL
BSGSG1A7-2026-08-10,BSGSG1A7,2026-08-10,ETL
BSGSG1A7-2026-08-10,BSGSG1A7,2026-08-10,AWS RDS
ZK8WLSRZ-2026-08-10,ZK8WLSRZ,2026-08-10,JavaScript
ZK8WLSRZ-2026-08-10,ZK8WLSRZ,2026-08-10,Data models
ZK8WLSRZ-2026-08-10,ZK8WLSRZ,2026-08-10,Data management
GP2CRPG0-2026-08-10,GP2CRPG0,2026-08-10,Linux
GP2CRPG0-2026-08-10,GP2CRPG0,2026-08-10,Ubuntu
GP2CRPG0-2026-08-10,GP2CRPG0,2026-08-10,RHEL
8QA4KLG0-2026-08-10,8QA4KLG0,2026-08-10,SAP
8QA4KLG0-2026-08-10,8QA4KLG0,2026-08-10,PP
8QA4KLG0-2026-08-10,8QA4KLG0,2026-08-10,QA
7ETBEM1J-2026-08-10,7ETBEM1J,2026-08-10,.NET
7ETBEM1J-2026-08-10,7ETBEM1J,2026-08-10,C#
7ETBEM1J-2026-08-10,7ETBEM1J,2026-08-10,.NET CORE
LGL96KUD-2026-08-10,LGL96KUD,2026-08-10,BI
LGL96KUD-2026-08-10,LGL96KUD,2026-08-10,SQL
LGL96KUD-2026-08-10,LGL96KUD,2026-08-10,Power BI
WQWU70QY-2026-08-10,WQWU70QY,2026-08-10,NGO
WQWU70QY-2026-08-10,WQWU70QY,2026-08-10,Startup
WQWU70QY-2026-08-10,WQWU70QY,2026-08-10,Własne inicjatywy
UEWYMRTG-2026-08-10,UEWYMRTG,2026-08-10,Python
UEWYMRTG-2026-08-10,UEWYMRTG,2026-08-10,Machine learning
UEWYMRTG-2026-08-10,UEWYMRTG,2026-08-10,R
GWAVNYYE-2026-08-10,GWAVNYYE,2026-08-10,SQL
GWAVNYYE-2026-08-10,GWAVNYYE,2026-08-10,Tableau
GWAVNYYE-2026-08-10,GWAVNYYE,2026-08-10,Power BI
IK0XD8DL-2026-08-10,IK0XD8DL,2026-08-10,BSc
IK0XD8DL-2026-08-10,IK0XD8DL,2026-08-10,MSc
IK0XD8DL-2026-08-10,IK0XD8DL,2026-08-10,Cybersecurity
GIOXHYSQ-2026-08-10,GIOXHYSQ,2026-08-10,Data engineering
GIOXHYSQ-2026-08-10,GIOXHYSQ,2026-08-10,Cloud platform
GIOXHYSQ-2026-08-10,GIOXHYSQ,2026-08-10,Python
LTAOO2AL-2026-08-10,LTAOO2AL,2026-08-10,SAP SD/MM
LTAOO2AL-2026-08-10,LTAOO2AL,2026-08-10,SAP FI
LTAOO2AL-2026-08-10,LTAOO2AL,2026-08-10,VAT/GST
CFLT9ZLX-2026-08-10,CFLT9ZLX,2026-08-10,UML
CFLT9ZLX-2026-08-10,CFLT9ZLX,2026-08-10,BPMN
CFLT9ZLX-2026-08-10,CFLT9ZLX,2026-08-10,Figma
KCRWHZ0H-2026-08-10,KCRWHZ0H,2026-08-10,React
KCRWHZ0H-2026-08-10,KCRWHZ0H,2026-08-10,JavaScript
KCRWHZ0H-2026-08-10,KCRWHZ0H,2026-08-10,TypeScript
ZANLRE2U-2026-08-10,ZANLRE2U,2026-08-10,Ansible
ZANLRE2U-2026-08-10,ZANLRE2U,2026-08-10,SRE
